Year,Country Name,"Current account balance, US Dollar","Current account balance, Percent of GDP","Revenue, General government, Domestic currency","Revenue, General government, Percent of GDP","Expenditure, General government, Domestic currency","Net lending (+) / net borrowing (-), General government, Domestic currency","Net lending (+) / net borrowing (-), General government, Percent of GDP","Primary net lending (+) / net borrowing (-), General government, Domestic currency","Primary net lending (+) / net borrowing (-), General government, Percent of GDP","Gross debt, General government, Domestic currency","Gross debt, General government, Percent of GDP","Expenditure, General government, Percent of GDP","Population, Number",Unemployment rate,"Gross domestic product (GDP), Current prices, Domestic currency","Gross domestic product (GDP), Current prices, US Dollar","Gross domestic product (GDP), Current prices, Per capita, US Dollar","Gross domestic product (GDP), Current prices, Per capita, Domestic currency","Gross domestic product (GDP), Constant prices, Per capita, Domestic currency","Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, Number","Gross domestic product (GDP), Deflator, Index","Gross domestic product (GDP), Current prices, Fiscal year, Domestic currency","Gross domestic product (GDP), Constant prices, Domestic currency","Gross domestic product (GDP), Constant prices, Percent change, Domestic currency","Gross national savings, Percent of GDP","All items, Consumer price index (CPI), Period average","All items, Consumer price index (CPI), End-of-period (EoP)","All items, Consumer price index (CPI), Percent change, end-of-period (EoP)","All items, Consumer price index (CPI), Percent change, period average","Domestic currency per international dollar in PPP terms, Domestic currency","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar","Gross domestic product (GDP), Per capita, purchasing power parity (PPP) international dollar","Gross domestic product (GDP), Purchasing power parity (PPP) international dollar, percent of world GDP","Gross capital formation, Percent of GDP","Imports of goods, Volume, Percent change","Imports of goods and services, Volume, Percent change","Exports of goods, Volume, Percent change","Exports of goods and services, Volume, Percent change"
2020,australia,29.737,2.179,704.799,35.653,877.149,-172.351,-8.719,-154.577,-7.82,1126.754,56.999,44.372,25.631,6.475,1976.801,1364.828,53249.731,77126.304,84745.605,57598.185,91.009,1976.801,2172.089,-2.102,24.567,116.175,117.2,0.947,0.912,1.431,1381.255,53890.665,0.993,22.3,-2.088,-11.839,-4.118,-9.646
2021,australia,47.925,2.89,779.673,35.343,919.824,-140.151,-6.353,-121.477,-5.507,1223.234,55.45,41.696,25.771,5.125,2206.018,1658.439,64352.012,85599.606,88901.178,60422.561,96.286,2206.018,2291.104,5.479,26.19,119.425,121.4,3.584,2.798,1.417,1557.171,60422.561,1.002,23.313,9.745,4.815,0.672,-2.443
2022,australia,14.95,0.867,877.58,35.375,931.823,-54.244,-2.187,-35.65,-1.437,1246.921,50.263,37.562,26.316,3.725,2480.784,1724.034,65513.824,94270.56,90471.213,61489.651,104.2,2480.784,2380.802,3.915,24.766,127.325,130.9,7.825,6.615,1.431,1733.499,65873.491,1.006,23.722,6.965,13.472,0.333,2.573
2023,australia,4.395,0.252,951.526,36.343,973.959,-22.434,-0.857,0.393,0.015,1283.129,49.009,37.2,26.967,3.692,2618.157,1740.622,64546.866,97088.2,90015.834,61180.148,107.857,2618.157,2427.438,1.959,24.155,134.475,136.2,4.049,5.616,1.43,1831.059,67900.529,0.994,23.981,0.615,6.446,1.717,6.719
2024,australia,-15.774,-0.875,990.248,36.352,1035.501,-45.253,-1.661,-13.823,-0.507,1343.849,49.333,38.014,27.317,4.15,2724.023,1802.006,65965.622,99717.647,89954.568,61138.508,110.853,2724.023,2457.321,1.231,23.263,138.932,140.29,3.003,3.315,1.435,1897.885,69475.413,0.975,24.149,4.629,5.125,0.963,2.075
2015,austria,6.591,1.725,172.553,50.122,176.03,-3.477,-1.01,2.888,0.839,292.265,84.894,51.131,8.63,6.158,344.269,382.01,44267.809,39894.379,39894.379,62404.567,100.0,344.269,344.269,1.015,25.531,121.511,121.817,1.071,0.81,0.774,444.707,51533.26,0.395,23.806,4.169,3.63,3.136,3.049
2016,austria,10.78,2.724,173.572,48.537,179.059,-5.487,-1.534,0.506,0.142,296.244,82.84,50.071,8.74,6.475,357.608,395.728,45278.829,40917.155,40174.61,62842.918,101.848,357.608,351.118,1.989,26.981,122.692,123.748,1.585,0.972,0.781,457.864,52388.368,0.391,24.256,3.625,3.726,2.854,2.988
2017,austria,5.732,1.374,179.077,48.483,182.091,-3.014,-0.816,2.466,0.668,289.951,78.501,49.299,8.815,5.925,369.362,417.114,47320.537,41903.187,40733.18,63716.658,102.872,369.362,359.049,2.259,26.213,125.426,126.632,2.331,2.228,0.775,476.59,54068.015,0.385,24.838,4.284,5.289,4.903,4.898
2018,austria,4.117,0.905,188.505,48.928,187.851,0.654,0.17,5.67,1.472,285.422,74.083,48.758,8.885,5.225,385.274,455.198,51234.477,43364.29,41392.641,64748.216,104.763,385.274,367.757,2.425,26.631,128.088,128.804,1.715,2.122,0.765,503.361,56655.538,0.383,25.726,4.156,5.348,4.792,5.198
2019,austria,10.603,2.385,195.563,49.242,193.308,2.255,0.568,6.862,1.728,280.54,70.639,48.674,8.859,4.808,397.147,444.645,50192.49,44830.812,42115.32,65878.663,106.448,397.147,373.091,1.451,27.734,130.003,131.157,1.827,1.495,0.738,537.898,60719.04,0.386,25.349,0.472,2.248,3.554,4.06
2020,austria,14.962,3.442,185.929,48.815,216.367,-30.438,-7.991,-26.195,-6.877,315.939,82.948,56.806,8.901,5.475,380.889,434.701,48837.35,42791.664,39135.389,61217.322,109.343,380.889,348.344,-6.633,29.069,131.811,132.485,1.012,1.391,0.729,522.625,58715.289,0.376,25.627,-7.152,-10.02,-7.702,-10.57
2021,austria,7.893,1.646,204.292,50.412,227.671,-23.379,-5.769,-19.733,-4.869,334.284,82.49,56.182,8.932,6.167,405.241,479.614,53696.146,45369.615,40652.306,63590.151,111.604,405.241,363.106,4.238,29.306,135.444,137.505,3.789,2.756,0.713,567.987,63590.151,0.365,27.66,15.179,14.328,12.273,9.127
2022,austria,-1.372,-0.291,222.261,49.692,236.9,-14.639,-3.273,-11.335,-2.534,350.693,78.406,52.965,8.978,4.733,447.276,471.374,52501.49,49817.471,42386.568,66302.961,117.531,447.276,380.559,4.806,27.254,147.112,151.997,10.54,8.614,0.701,637.728,71029.961,0.37,27.545,5.129,7.879,7.068,11.187
2023,austria,13.775,2.661,236.111,49.332,248.782,-12.671,-2.647,-8.81,-1.841,371.143,77.545,51.979,9.105,5.1,478.616,517.662,56856.125,52567.632,41466.277,64863.401,126.772,478.616,377.541,-0.793,27.737,158.454,160.589,5.653,7.71,0.73,655.438,71988.371,0.356,25.076,-3.868,-2.324,0.662,-0.246
2024,austria,13.977,2.609,245.879,50.005,262.443,-16.565,-3.369,-10.813,-2.199,387.148,78.734,53.373,9.133,5.597,491.713,535.804,58668.601,53840.781,41096.452,64284.903,131.011,491.713,375.323,-0.588,26.493,163.276,163.645,1.903,3.043,0.737,667.153,73050.854,0.343,23.884,-0.277,-0.648,-1.127,-1.037
2015,"azerbaijan, republic of",-0.222,-0.42,18.416,33.866,21.045,-2.628,-4.833,-2.427,-4.462,9.778,17.98,38.699,9.593,4.958,54.38,52.997,5524.527,5668.717,3136.318,20806.353,180.744,54.38,30.087,1.08,27.492,192.89,200.4,7.58,4.04,0.385,141.405,14740.405,0.126,27.914,24.962,11.618,-1.934,9.393
2016,"azerbaijan, republic of",-1.363,-3.604,20.699,34.255,21.406,-0.707,-1.17,-0.449,-0.743,12.453,20.608,35.425,9.705,5.043,60.425,37.83,3897.788,6225.936,3005.024,19935.35,207.184,60.425,29.165,-3.064,22.075,216.9,231.8,15.669,12.448,0.437,138.375,14257.54,0.118,25.682,13.055,9.947,-1.57,1.918
2017,"azerbaijan, republic of",1.685,4.071,24.076,34.229,25.02,-0.944,-1.342,-0.64,-0.909,15.832,22.509,35.571,9.81,4.961,70.338,41.375,4217.653,7170.01,2977.55,19753.084,240.802,70.338,29.21,0.154,27.348,244.96,250.2,7.938,12.937,0.499,141.07,14380.188,0.114,24.379,-5.264,-2.31,-5.122,-6.636
2018,"azerbaijan, republic of",6.051,12.844,30.925,38.612,26.577,4.348,5.429,4.89,6.106,14.966,18.685,33.183,9.898,4.944,80.092,47.113,4759.796,8091.654,2994.44,19865.132,270.223,80.092,29.639,1.47,30.56,250.5,254.0,1.519,2.262,0.527,151.91,15347.341,0.115,20.129,13.5,-3.061,8.208,1.28
2019,"azerbaijan, republic of",4.365,9.061,33.966,41.475,26.633,7.334,8.955,7.901,9.648,14.46,17.656,32.52,9.951,5.004,81.896,48.174,4841.145,8229.947,3052.383,20249.527,269.624,81.896,30.374,2.48,27.373,257.0,260.0,2.362,2.595,0.49,167.158,16798.121,0.12,20.308,4.253,0.773,5.694,2.566
2020,"azerbaijan, republic of",-0.228,-0.533,24.471,33.716,29.145,-4.674,-6.44,-4.069,-5.607,15.479,21.327,40.157,9.974,7.244,72.578,42.693,4280.429,7276.729,2917.471,19354.523,249.419,72.578,29.099,-4.199,22.024,264.1,266.8,2.615,2.763,0.474,153.048,15344.671,0.11,23.666,-5.913,-7.154,-10.904,-9.491
2021,"azerbaijan, republic of",8.292,15.124,33.901,36.373,29.981,3.919,4.205,4.547,4.879,24.558,26.349,32.168,10.026,6.039,93.203,54.825,5468.269,9296.057,3065.318,20335.335,303.266,93.203,30.733,5.616,31.527,281.7,298.8,11.994,6.664,0.457,203.884,20335.335,0.131,17.079,-17.52,-16.126,6.488,3.561
2022,"azerbaijan, republic of",23.478,29.792,43.059,32.14,35.072,7.987,5.962,8.619,6.433,23.21,17.324,26.178,10.063,5.646,133.973,78.807,7831.176,13312.999,3197.972,21215.365,416.295,133.973,32.182,4.715,38.152,320.74,341.7,14.357,13.859,0.586,228.718,22727.892,0.133,12.004,13.544,14.034,42.474,35.817
2023,"azerbaijan, republic of",8.329,11.512,50.049,40.688,40.297,9.752,7.928,10.62,8.634,26.85,21.829,32.76,10.127,5.456,123.006,72.356,7144.807,12146.172,3213.547,21318.69,377.968,123.006,32.544,1.124,28.354,349.008,348.847,2.092,8.813,0.513,239.612,23660.458,0.13,18.304,29.902,25.853,-18.007,-11.04
2024,"azerbaijan, republic of",4.65,6.147,43.476,33.806,42.152,1.324,1.03,2.246,1.746,26.342,20.483,32.777,10.249,5.394,128.603,75.649,7381.368,12548.326,3276.206,21734.372,383.014,128.603,33.577,3.173,18.871,356.337,364.894,4.6,2.1,0.508,253.121,24698.092,0.13,14.167,10.548,-6.216,-7.556,-14.959
2015,belgium,6.395,1.383,213.793,51.306,223.851,-10.058,-2.414,0.66,0.158,438.497,105.23,53.72,11.237,8.65,416.702,462.383,41147.261,37082.125,37082.036,59064.709,100.0,416.702,416.701,2.041,25.011,100.0,100.74,1.45,0.623,0.768,542.614,48286.997,0.482,23.628,1.036,1.036,1.283,1.283
2016,belgium,2.625,0.552,218.288,50.755,228.451,-10.164,-2.363,0.02,0.005,451.62,105.007,53.118,11.311,7.842,430.085,475.931,42076.398,38023.212,37306.66,59422.493,101.921,430.085,421.98,1.267,24.804,101.774,102.96,2.204,1.774,0.775,554.71,49041.109,0.474,24.252,5.117,5.117,3.2,3.2
